Property - Property ID,Property - Legal Description,Property - Geographic ID,Property - Zoning,Property - Type,Property - Agent Code,Property - Property Use Code,Property - Property Use Description,Property - Protest Status,Property - Informal Date,Property - Formal Date,Property - Address,Property - Mapsco,Property - Neighborhood,Property - Map ID,Property - Neighborhood CD,Property - Name,Property - Owner ID,Property - Mailing Address,Property - % Ownership,Property - Exemptions,Values - Improvement Homesite Value,Values - Improvement Non-Homesite Value,Values - Land Homesite Value,Values - Land Non-Homesite Value,Values - Agricultural Market Valuation,Values - Agricultural Use Valuation,Values - Timber Market Valuation,Values - Timber Use Valuation,Values - Market Value,Values - Ag or Timber Use Value Reduction,Values - Appraised Value,Values - HS Cap,Values - Assessed Value,Taxing Jurisdiction - Owner,Taxing Jurisdiction - % Ownership,Taxing Jurisdiction - Total Value,Taxing Jurisdiction - Entity #1,Taxing Jurisdiction - Description #1,Taxing Jurisdiction - Tax Rate #1,Taxing Jurisdiction - Appraised Value #1,Taxing Jurisdiction - Taxable Value #1,Taxing Jurisdiction - Estimated Tax #1,Taxing Jurisdiction - Entity #2,Taxing Jurisdiction - Description #2,Taxing Jurisdiction - Tax Rate #2,Taxing Jurisdiction - Appraised Value #2,Taxing Jurisdiction - Taxable Value #2,Taxing Jurisdiction - Estimated Tax #2,Taxing Jurisdiction - Entity #3,Taxing Jurisdiction - Description #3,Taxing Jurisdiction - Tax Rate #3,Taxing Jurisdiction - Appraised Value #3,Taxing Jurisdiction - Taxable Value #3,Taxing Jurisdiction - Estimated Tax #3,Taxing Jurisdiction - Entity #4,Taxing Jurisdiction - Description #4,Taxing Jurisdiction - Tax Rate #4,Taxing Jurisdiction - Appraised Value #4,Taxing Jurisdiction - Taxable Value #4,Taxing Jurisdiction - Estimated Tax #4,Taxing Jurisdiction - Entity #5,Taxing Jurisdiction - Description #5,Taxing Jurisdiction - Tax Rate #5,Taxing Jurisdiction - Appraised Value #5,Taxing Jurisdiction - Taxable Value #5,Taxing Jurisdiction - Estimated Tax #5,Taxing Jurisdiction - Entity #6,Taxing Jurisdiction - Description #6,Taxing Jurisdiction - Tax Rate #6,Taxing Jurisdiction - Appraised Value #6,Taxing Jurisdiction - Taxable Value #6,Taxing Jurisdiction - Estimated Tax #6,Taxing Jurisdiction - Entity #7,Taxing Jurisdiction - Description #7,Taxing Jurisdiction - Tax Rate #7,Taxing Jurisdiction - Appraised Value #7,Taxing Jurisdiction - Taxable Value #7,Taxing Jurisdiction - Estimated Tax #7,Taxing Jurisdiction - Entity #8,Taxing Jurisdiction - Description #8,Taxing Jurisdiction - Tax Rate #8,Taxing Jurisdiction - Appraised Value #8,Taxing Jurisdiction - Taxable Value #8,Taxing Jurisdiction - Estimated Tax #8,Taxing Jurisdiction - Entity #9,Taxing Jurisdiction - Description #9,Taxing Jurisdiction - Tax Rate #9,Taxing Jurisdiction - Appraised Value #9,Taxing Jurisdiction - Taxable Value #9,Taxing Jurisdiction - Estimated Tax #9,Taxing Jurisdiction - Total Tax Rate,Taxing Jurisdiction - Taxes w/Current Exemptions,Taxing Jurisdiction - Taxes w/o Exemptions,Land - Type #1,Land - Description #1,Land - Acres #1,Land - Sqft #1,Land - Eff Front #1,Land - Eff Depth #1,Land - Market Value #1,Land - Prod. Value #1,Roll Value History - Year #1,Roll Value History - Improvements #1,Roll Value History - Land Market #1,Roll Value History - Ag Valuation #1,Roll Value History - Appraised #1,Roll Value History - HS Cap #1,Roll Value History - Assessed #1,Roll Value History - Year #2,Roll Value History - Improvements #2,Roll Value History - Land Market #2,Roll Value History - Ag Valuation #2,Roll Value History - Appraised #2,Roll Value History - HS Cap #2,Roll Value History - Assessed #2,Roll Value History - Year #3,Roll Value History - Improvements #3,Roll Value History - Land Market #3,Roll Value History - Ag Valuation #3,Roll Value History - Appraised #3,Roll Value History - HS Cap #3,Roll Value History - Assessed #3,Roll Value History - Year #4,Roll Value History - Improvements #4,Roll Value History - Land Market #4,Roll Value History - Ag Valuation #4,Roll Value History - Appraised #4,Roll Value History - HS Cap #4,Roll Value History - Assessed #4,Roll Value History - Year #5,Roll Value History - Improvements #5,Roll Value History - Land Market #5,Roll Value History - Ag Valuation #5,Roll Value History - Appraised #5,Roll Value History - HS Cap #5,Roll Value History - Assessed #5,Deed History - Deed Date #1,Deed History - Type #1,Deed History - Description #1,Deed History - Grantor #1,Deed History - Grantee #1,Deed History - Volume #1,Deed History - Page #1,Deed History - Deed Number #1,Deed History - Deed Date #2,Deed History - Type #2,Deed History - Description #2,Deed History - Grantor #2,Deed History - Grantee #2,Deed History - Volume #2,Deed History - Page #2,Deed History - Deed Number #2,Land - Type #2,Land - Description #2,Land - Acres #2,Land - Sqft #2,Land - Eff Front #2,Land - Eff Depth #2,Land - Market Value #2,Land - Prod. Value #2,Deed History - Deed Date #3,Deed History - Type #3,Deed History - Description #3,Deed History - Grantor #3,Deed History - Grantee #3,Deed History - Volume #3,Deed History - Page #3,Deed History - Deed Number #3
398470,NCB  7676    BLK     LOT  S IRR 61.35 FT OF B7,07676-000-0460,C-1  R-6,Real,,5000,EXEMPT - TOTAL EXEMPT,,,,"142 WOODHULL
SAN ANTONIO, TX 78214",651A6,NBHD code12330,,12330,UNITED STATES OF AMERICA,360334,"% NATIONAL PARK SERVICE INTERMOUTAIN REGION
PO BOX 25287
DENVER, CO 80225-0287",100.0000000000%,EX-XV,$0,$0,$0,"$7,120",$0,$0,$0,$0,"$7,120",$0,"$7,120",$0,"$7,120",UNITED STATES OF AMERICA,100.0000000000%,"$7,120",06,BEXAR CO RD & FLOOD,0.023668,"$7,120",$0,$0.00,08,SA RIVER AUTH,0.018580,"$7,120",$0,$0.00,09,ALAMO COM COLLEGE,0.149150,"$7,120",$0,$0.00,10,UNIV HEALTH SYSTEM,0.276235,"$7,120",$0,$0.00,11,BEXAR COUNTY,0.277429,"$7,120",$0,$0.00,21,CITY OF SAN ANTONIO,0.558270,"$7,120",$0,$0.00,53,HARLANDALE ISD,1.498900,"$7,120",$0,$0.00,CAD,BEXAR APPRAISAL DISTRICT,0.000000,"$7,120",$0,$0.00,SA032,San Antonio TIF #32 Mission Drive-In,0.000000,"$7,120",$0,$0.00,2.802232,$0.00,$199.52,CSS,Commercial Store Site,0.0578,2517.00,0.00,0.00,"$7,120",$0,2020,N/A,N/A,N/A,N/A,N/A,N/A,2019,$0,"$7,120",0,"7,120",$0,"$7,120",2018,$0,"$6,920",0,"6,920",$0,"$6,920",2017,$0,"$5,290",0,"5,290",$0,"$5,290",2016,$0,"$5,290",0,"5,290",$0,"$5,290",11/27/2018,Deed,Deed,CITY OF SAN ANTONIO,UNITED STATES OF AMERICA,,,20180239394,6/15/2001,JG,Judgement,MORENO MELCHOR & ISABEL V,CITY OF SAN ANTONIO,94-ED0002,,,,,,,,,,,,,,,,,,
1173139,NCB 17700 P-1 (183.0 AC) & P-17 (140.0 AC) (EISENHOWER PARK),17700-000-0014,MR,Real,,009,LAND (potential development land),,,,"CAMP BULLIS RD
SAN ANTONIO, TX 78258",480F8,NBHD code52001,,52001,CITY OF SAN ANTONIO,182751,"PO BOX 839966
SAN ANTONIO, TX 78283-3966",100.0000000000%,EX-XV,$0,$0,$0,"$3,798,870",$0,$0,$0,$0,"$3,798,870",$0,"$3,798,870",$0,"$3,798,870",CITY OF SAN ANTONIO,100.0000000000%,"$3,798,870",06,BEXAR CO RD & FLOOD,0.023668,"$3,798,870",$0,$0.00,08,SA RIVER AUTH,0.018580,"$3,798,870",$0,$0.00,09,ALAMO COM COLLEGE,0.149150,"$3,798,870",$0,$0.00,10,UNIV HEALTH SYSTEM,0.276235,"$3,798,870",$0,$0.00,11,BEXAR COUNTY,0.277429,"$3,798,870",$0,$0.00,21,CITY OF SAN ANTONIO,0.558270,"$3,798,870",$0,$0.00,56,NORTHSIDE ISD,1.305500,"$3,798,870",$0,$0.00,CAD,BEXAR APPRAISAL DISTRICT,0.000000,"$3,798,870",$0,$0.00,,,,,,,2.608832,$0.00,"$99,106.14",UDL,Undeveloped land,323.0000,14069880.00,0.00,0.00,"$3,798,870",$0,2020,N/A,N/A,N/A,N/A,N/A,N/A,2019,$0,"$3,798,870",0,"3,798,870",$0,"$3,798,870",2018,$0,"$3,658,170",0,"3,658,170",$0,"$3,658,170",2017,$0,"$3,658,170",0,"3,658,170",$0,"$3,658,170",2016,$0,"$3,658,170",0,"3,658,170",$0,"$3,658,170",3/22/1973,QC,Quit Claim,UNITED STATES GOVERNMENT,CITY OF SAN ANTONIO,7053,0076,328046,,,,,,,,,,,,,,,,,,,,,,,,
503785,NCB 12271  BLK   11 LOT ALL BLK,12271-011-0010,MF-33,Real,,001,Single Family,,,,"500 INSPIRATION DR
SAN ANTONIO, TX 78228",581A5,SUNSET HILLS,,99047,CITY OF SAN ANTONIO,70010,"PO BOX 839966
SAN ANTONIO, TX 78283-3966",100.0000000000%,EX-XV,"$149,610",$0,"$114,340",$0,$0,$0,$0,$0,"$263,950",$0,"$263,950",$0,"$263,950",CITY OF SAN ANTONIO,100.0000000000%,"$263,950",06,BEXAR CO RD & FLOOD,0.023668,"$263,950",$0,$0.00,08,SA RIVER AUTH,0.018580,"$263,950",$0,$0.00,09,ALAMO COM COLLEGE,0.149150,"$263,950",$0,$0.00,10,UNIV HEALTH SYSTEM,0.276235,"$263,950",$0,$0.00,11,BEXAR COUNTY,0.277429,"$263,950",$0,$0.00,21,CITY OF SAN ANTONIO,0.558270,"$263,950",$0,$0.00,56,NORTHSIDE ISD,1.305500,"$263,950",$0,$0.00,CAD,BEXAR APPRAISAL DISTRICT,0.000000,"$263,950",$0,$0.00,,,,,,,2.608832,$0.00,"$6,886.01",OTH,Other,1.9176,83530.66,0.00,0.00,"$114,340",$0,2020,N/A,N/A,N/A,N/A,N/A,N/A,2019,"$149,610","$114,340",0,"263,950",$0,"$263,950",2018,"$157,720","$114,340",0,"272,060",$0,"$272,060",2017,"$160,660","$114,340",0,"275,000",$0,"$275,000",2016,"$130,270","$114,340",0,"244,610",$0,"$244,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062992,NCB 10770 TR-7Z (OUT OF TR-7Y),10770-000-0071,R-5,Real,,5000,EXEMPT - TOTAL EXEMPT,,,,"ROLAND AVE
SAN ANTONIO, TX 78222",652C2,NBHD code12060,,12060,CITY OF SAN ANTONIO,70018,"PO BOX 839966
SAN ANTONIO, TX 78283-3966",100.0000000000%,EX-XV,$0,$0,$0,"$29,070",$0,$0,$0,$0,"$29,070",$0,"$29,070",$0,"$29,070",CITY OF SAN ANTONIO,100.0000000000%,"$29,070",06,BEXAR CO RD & FLOOD,0.023668,"$29,070",$0,$0.00,08,SA RIVER AUTH,0.018580,"$29,070",$0,$0.00,09,ALAMO COM COLLEGE,0.149150,"$29,070",$0,$0.00,10,UNIV HEALTH SYSTEM,0.276235,"$29,070",$0,$0.00,11,BEXAR COUNTY,0.277429,"$29,070",$0,$0.00,21,CITY OF SAN ANTONIO,0.558270,"$29,070",$0,$0.00,57,SAN ANTONIO ISD,1.530950,"$29,070",$0,$0.00,CAD,BEXAR APPRAISAL DISTRICT,0.000000,"$29,070",$0,$0.00,,,,,,,2.834282,$0.00,$823.93,UDL,Undeveloped land,0.6230,27137.88,0.00,0.00,"$25,240",$0,2020,N/A,N/A,N/A,N/A,N/A,N/A,2019,$0,"$29,070",0,"29,070",$0,"$29,070",2018,$0,"$27,910",0,"27,910",$0,"$27,910",2017,$0,"$27,910",0,"27,910",$0,"$27,910",2016,$0,"$27,910",0,"27,910",$0,"$27,910",4/20/2006,WD,Warranty Deed,PIROTINA JAMES,CITY OF SAN ANTONIO,12075,1658,20060092506,,,,,,,,,FLP,Flood Plain,0.8000,34848.00,0.00,0.00,"$3,830",$0,,,,,,,,
192404,CB 4320  P-3   ABS 21,04320-000-0033,OCL,Real,,009,LAND (potential development land),,,,"WT MONTGOMERY
SAN ANTONIO, TX 78252",677D2,I90-N PTNCO-W MD(NS/MD),,21098,CITY OF SAN ANTONIO/SAN ANTONIO WATER SYSTEM,113346,"ATTN  MARK BREWTON
PO BOX 2449
SAN ANTONIO, TX 78298-2449",100.0000000000%,EX-XV,$0,"$82,020",$0,"$1,191,730",$0,$0,$0,$0,"$1,273,750",$0,"$1,273,750",$0,"$1,273,750",CITY OF SAN ANTONIO/SAN ANTONIO WATER SYSTEM,100.0000000000%,"$1,273,750",06,BEXAR CO RD & FLOOD,0.023668,"$1,273,750",$0,$0.00,08,SA RIVER AUTH,0.018580,"$1,273,750",$0,$0.00,09,ALAMO COM COLLEGE,0.149150,"$1,273,750",$0,$0.00,10,UNIV HEALTH SYSTEM,0.276235,"$1,273,750",$0,$0.00,11,BEXAR COUNTY,0.277429,"$1,273,750",$0,$0.00,68,MEDINA VALLEY ISD,1.425000,"$1,273,750",$0,$0.00,76,BEXAR CO EMERG DIST #5,0.100000,"$1,273,750",$0,$0.00,CAD,BEXAR APPRAISAL DISTRICT,0.000000,"$1,273,750",$0,$0.00,,,,,,,2.270062,$0.00,"$28,914.91",BSE,Base Rate Lot,45.9611,2002065.52,0.00,0.00,"$659,000",$0,2020,N/A,N/A,N/A,N/A,N/A,N/A,2019,"$82,020","$1,191,730",0,"1,273,750",$0,"$1,273,750",2018,"$95,280","$512,240",0,"607,520",$0,"$607,520",2017,"$95,280","$431,410",0,"526,690",$0,"$526,690",2016,"$86,160","$361,610",0,"447,770",$0,"$447,770",3/1/2012,Deed,Deed,BEXAR METROPOLITAN WATER DISTRICT,CITY OF SAN ANTONIO/SAN ANTONIO WATER SYSTEM,15414,1147,20120055877,4/7/1999,Deed,Deed,,BEXAR METROPOLITAN WATER,7915,0867,0,BSE,Base Rate Lot,69.6649,3034603.04,0.00,0.00,"$532,730",$0,,,,,,,,
